Design;Avg_Obj (D_bar);Var (S^2);StdDev (S);Half-Width (eps);95% CI;Coeff of Var (CV);Rel Precision (gamma)
S1-U14-R1;0,4783;0,0011;0,0339;0,015;"[0,4633 ; 0,4933]";0,0709;0,0314
S1-U18-R4;0,914;0,0659;0,2567;0,1138;"[0,8002 ; 1,0278]";0,2809;0,1245
S3-U17-R2;0,5838;0,0214;0,1462;0,0648;"[0,5190 ; 0,6486]";0,2503;0,111
S1-U11-R3;0,4514;0,0003;0,0167;0,0074;"[0,4440 ; 0,4588]";0,0369;0,0164
S2-U17-R2;0,6527;0,022;0,1484;0,0658;"[0,5869 ; 0,7185]";0,2274;0,1008
S3-U14-R3;0,4487;0,0011;0,0326;0,0145;"[0,4342 ; 0,4631]";0,0727;0,0322
S3-U17-R3;0,5863;0,0215;0,1466;0,065;"[0,5214 ; 0,6513]";0,25;0,1108
S3-U13-R3;0,4317;0,0006;0,0242;0,0107;"[0,4209 ; 0,4424]";0,0562;0,0249
S1-U14-R4;0,4769;0,0012;0,0341;0,0151;"[0,4618 ; 0,4920]";0,0714;0,0317
S2-U16-R1;0,5787;0,0059;0,0768;0,0341;"[0,5446 ; 0,6127]";0,1328;0,0589
S2-U13-R4;0,5233;0,0007;0,0262;0,0116;"[0,5117 ; 0,5349]";0,05;0,0222
