Rank;Design;Strategy;Urgent_Slots;Rule;Avg_OV;Var;StdDev;Half_Width
1;S3-U11-R4;3;11;4;0,4311;8,3e-05;0,0091;0,004
2;S3-U11-R2;3;11;2;0,4321;8,3e-05;0,0091;0,004
3;S3-U11-R1;3;11;1;0,4325;8,3e-05;0,0091;0,004
4;S3-U13-R4;3;13;4;0,4357;0,000239;0,0155;0,0069
5;S3-U13-R2;3;13;2;0,4366;0,000238;0,0154;0,0068
6;S3-U13-R1;3;13;1;0,4371;0,000238;0,0154;0,0068
7;S3-U12-R4;3;12;4;0,4378;0,000126;0,0112;0,005
8;S3-U12-R2;3;12;2;0,4389;0,000129;0,0114;0,005
9;S3-U12-R1;3;12;1;0,4392;0,000126;0,0112;0,005
10;S3-U10-R4;3;10;4;0,4427;6,3e-05;0,0079;0,0035
11;S3-U10-R2;3;10;2;0,4438;6,4e-05;0,008;0,0035
12;S3-U10-R1;3;10;1;0,444;6,3e-05;0,008;0,0035
13;S1-U11-R2;1;11;2;0,4529;7,1e-05;0,0084;0,0037
14;S1-U11-R4;1;11;4;0,4532;7e-05;0,0084;0,0037
15;S1-U11-R1;1;11;1;0,4547;7,1e-05;0,0084;0,0037
16;S3-U14-R4;3;14;4;0,4559;0,00057;0,0239;0,0106
17;S3-U14-R2;3;14;2;0,457;0,00057;0,0239;0,0106
18;S3-U14-R1;3;14;1;0,4573;0,000571;0,0239;0,0106
19;S1-U10-R2;1;10;2;0,4588;5,3e-05;0,0073;0,0032
20;S1-U10-R4;1;10;4;0,4592;5,3e-05;0,0073;0,0032
21;S1-U10-R1;1;10;1;0,4607;5,4e-05;0,0073;0,0033
22;S1-U12-R2;1;12;2;0,4611;0,000116;0,0108;0,0048
23;S1-U12-R4;1;12;4;0,4616;0,000115;0,0107;0,0048
24;S1-U12-R1;1;12;1;0,4631;0,000116;0,0108;0,0048
25;S1-U13-R2;1;13;2;0,4643;0,000243;0,0156;0,0069
26;S1-U13-R4;1;13;4;0,4648;0,00024;0,0155;0,0069
27;S1-U13-R1;1;13;1;0,4663;0,000238;0,0154;0,0068
28;S3-U15-R4;3;15;4;0,4782;0,001956;0,0442;0,0196
29;S3-U15-R2;3;15;2;0,4792;0,001956;0,0442;0,0196
30;S3-U15-R1;3;15;1;0,4795;0,001952;0,0442;0,0196
31;S1-U14-R2;1;14;2;0,486;0,000585;0,0242;0,0107
32;S1-U14-R4;1;14;4;0,4865;0,00058;0,0241;0,0107
33;S1-U14-R1;1;14;1;0,488;0,000575;0,024;0,0106
34;S1-U15-R2;1;15;2;0,514;0,00201;0,0448;0,0199
35;S1-U15-R4;1;15;4;0,5146;0,002026;0,045;0,02
36;S1-U15-R1;1;15;1;0,516;0,002017;0,0449;0,0199
37;S2-U13-R4;2;13;4;0,5298;0,00027;0,0164;0,0073
38;S2-U13-R2;2;13;2;0,5303;0,00027;0,0164;0,0073
39;S2-U13-R1;2;13;1;0,5304;0,000269;0,0164;0,0073
40;S2-U12-R4;2;12;4;0,5344;0,000122;0,011;0,0049
41;S2-U11-R4;2;11;4;0,5349;7,9e-05;0,0089;0,0039
42;S2-U12-R1;2;12;1;0,535;0,000122;0,011;0,0049
43;S2-U12-R2;2;12;2;0,5352;0,000124;0,0111;0,0049
44;S2-U11-R1;2;11;1;0,5355;8e-05;0,009;0,004
45;S2-U11-R2;2;11;2;0,5355;8,1e-05;0,009;0,004
46;S2-U14-R4;2;14;4;0,5428;0,000622;0,0249;0,0111
47;S2-U14-R1;2;14;1;0,5435;0,000624;0,025;0,0111
48;S2-U14-R2;2;14;2;0,5436;0,000624;0,025;0,0111
49;S2-U10-R4;2;10;4;0,55;4,6e-05;0,0068;0,003
50;S2-U10-R1;2;10;1;0,5506;4,7e-05;0,0068;0,003
51;S2-U10-R2;2;10;2;0,5509;4,8e-05;0,0069;0,0031
52;S2-U15-R4;2;15;4;0,5619;0,00216;0,0465;0,0206
53;S2-U15-R2;2;15;2;0,5624;0,002172;0,0466;0,0207
54;S2-U15-R1;2;15;1;0,5625;0,002165;0,0465;0,0206
